,doi,subject,"doi,subject"
73,s41893-020-0563-0,Economics,
74,s41893-020-0563-0,Environmental sciences,
75,s41893-020-0563-0,Health care,
76,s41893-020-0563-0,SARS-CoV-2,
77,s41893-020-0563-0,Social sciences,
78,s41928-020-0379-y,Electrical and electronic engineering,
79,s41928-020-0379-y,Electronic devices,
80,s41928-020-0461-5,Electronic properties and materials,
81,s41928-020-0461-5,Graphene,
82,s41928-020-0461-5,Magnetic devices,
83,s41928-020-0461-5,Nanoscale devices,
84,s41928-020-0461-5,Nanoscience and technology,
85,s41893-020-00605-2,Diseases,
86,s41893-020-00605-2,Environmental sciences,
87,s41893-020-00605-2,Natural hazards,
88,s41893-020-00605-2,Risk factors,
89,s41893-020-00605-2,SARS-CoV-2,
90,s41929-020-0437-x,Catalyst synthesis,
91,s41929-020-0437-x,Heterogeneous catalysis,
92,s41929-020-0437-x,Porous materials,
93,s41928-020-0378-z,Carbon nanotubes and fullerenes,
94,s41928-020-0378-z,Electronic properties and materials,
95,s41928-020-0378-z,Materials for devices,
96,s41928-020-0378-z,Two-dimensional materials,
97,s41746-020-00335-x,Amyotrophic lateral sclerosis,
98,s41746-020-00335-x,Predictive markers,
99,s41929-019-0402-8,Electrocatalysis,
100,s41929-019-0402-8,Energy,
101,s41929-019-0402-8,Heterogeneous catalysis,
102,s41893-019-0465-1,Agriculture,
103,s41893-019-0465-1,Environmental sciences,
0,s41529-020-0120-3,Chemistry,
1,s41529-020-0120-3,Electronic devices,
2,s41551-019-0499-8,Cancer imaging,
3,s41551-019-0499-8,Cancer metabolism,
4,s41551-019-0499-8,Magnetic resonance imaging,
5,s41551-019-0499-8,Neuroscience,
6,s41551-019-0499-8,Translational research,
7,s41559-019-1070-4,Biodiversity,
8,s41559-019-1070-4,Community ecology,
9,s41559-019-1070-4,Macroecology,
10,s41562-019-0808-y,Archaeology,
11,s41562-019-0808-y,Behavioural ecology,
12,s41562-019-0808-y,Biological anthropology,
13,s41562-019-0810-4,Economics,
14,s41562-019-0810-4,Human behaviour,
15,s41562-019-0810-4,Psychology,
16,s41562-019-0810-4,Social policy,
17,s41698-020-0119-9,Cancer microenvironment,
18,s41698-020-0119-9,Squamous cell carcinoma,
19,s41698-020-0119-9,Tumour immunology,
20,s41559-019-1085-x,Ecological epidemiology,
21,s41559-019-1085-x,Microbial ecology,
22,s41559-019-1085-x,Plant ecology,
23,s41559-019-1085-x,Population dynamics,
24,s41559-019-1085-x,Sequencing,
25,s41559-019-1069-x,Comparative genomics,
26,s41559-019-1069-x,Evolutionary genetics,
27,s41559-019-1069-x,Genome evolution,
28,s41559-019-1069-x,Phylogenomics,
29,s41559-019-1069-x,Zoology,
30,s41559-019-1090-0,Biogeography,
31,s41559-019-1090-0,Carbon cycle,
32,s41559-019-1090-0,Environmental impact,
33,s41528-020-0074-0,Electrical and electronic engineering,
34,s41528-020-0074-0,Materials for devices,
35,s41562-019-0802-4,Cultural and media studies,
36,s41562-019-0802-4,Evolution,
37,s41562-019-0802-4,Science,
38,s41562-019-0802-4, technology and society,
39,s41550-020-1163-7,Astronomy and astrophysics,
40,s41550-020-1163-7,Culture,
41,s41550-020-1163-7,Peer review,
42,s41559-020-01297-9,Ecology,
43,s41559-020-01297-9,Evolution,
44,s41559-020-01297-9,Science,
45,s41559-020-01297-9, technology and society,
46,s41559-020-01297-9,Social policy,
47,s41550-020-1159-3,Compact astrophysical objects,
48,s41550-020-1159-3,High-energy astrophysics,
49,s41550-020-1144-x,Interstellar medium,
50,s41550-020-1144-x,Transient astrophysical phenomena,
51,s41550-020-1126-z,Astronomy and astrophysics,
52,s41550-020-1126-z,Galaxies and clusters,
53,s41550-020-1126-z,Interstellar medium,
54,s41550-020-1126-z,Stars,
55,s41559-020-1263-x,Conservation biology,
56,s41559-020-1263-x,Ecology,
57,s41551-020-0561-6,Biomedical engineering,
58,s41551-020-0561-6,Reproductive biology,
59,s41550-020-1090-7,Computational astrophysics,
60,s41550-020-1090-7,Galaxies and clusters,
61,s41550-020-1090-7,High-energy astrophysics,
62,s41893-020-00606-1,Bioinspired materials,
63,s41893-020-00606-1,Fungal biology,
64,s41893-020-00606-1,Sustainability,
65,s41562-020-0895-9,Animal behaviour,
66,s41562-020-0895-9,Anthropology,
67,s41550-020-1119-y,Astronomy and planetary science,
68,s41550-020-1119-y,Galaxies and clusters,
69,s41562-020-0853-6,Human behaviour,
70,s41562-020-0853-6,Psychology,
71,s41562-020-0849-2,Human behaviour,
72,s41528-020-00091-8,Electrical and electronic engineering,
73,s41528-020-00091-8,Engineering,
74,s41529-020-00136-3,Characterization and analytical techniques,
75,s41529-020-00136-3,Metals and alloys,
76,s41562-020-0851-8,Medical humanities,
77,s41562-020-0851-8,Neuroscience,
78,s41562-020-0851-8,Physiology,
79,s41562-020-0851-8,Psychology,
80,s41550-020-1038-y,Astronomy and astrophysics,
81,s41550-020-1038-y,Education,
82,s41550-020-1038-y,Research management,
83,s41550-020-1038-y,Social sciences,
84,s41551-020-0539-4,Cardiovascular models,
85,s41551-020-0539-4,Tissue engineering,
86,s41562-020-0848-3,Cognitive neuroscience,
87,s41562-020-0848-3,Decision,
88,s41562-020-0848-3,Motivation,
89,s41562-020-0848-3,Reward,
90,s41528-020-00090-9,Electrical and electronic engineering,
91,s41528-020-00090-9,Materials for devices,
0,s43016-020-0128-4,Climate change,
1,s43016-020-0128-4,Developing world,
2,s43018-020-0070-2,Cancer,
3,s43018-020-0070-2,Colon cancer,
4,s43018-020-0070-2,Epithelial–mesenchymal transition,
5,s43018-020-0070-2,Microbiome,
6,s43016-020-0092-z,Biochemical reaction networks,
7,s43016-020-0092-z,Computational models,
8,s43016-020-0092-z,Metabolic syndrome,
9,s43016-020-0092-z,Predictive markers,
10,s43016-020-00155-y,Agroecology,
11,s43016-020-00155-y,Agriculture,
12,s43016-020-00155-y,Developing world,
13,s43016-020-00155-y,Policy,
14,s43016-020-00155-y,Science,
15,s43016-020-00155-y, technology and society,
16,s43018-020-00146-9,Cancer microenvironment,
17,s43018-020-00146-9,Targeted therapies,
18,s43016-020-00173-w,,
19,s43018-020-00144-x,,
20,s43017-020-0098-y,Geochemistry,
21,s43017-020-0098-y,Palaeoclimate,
22,s43247-020-00053-y,Environmental impact,
23,s43247-020-00053-y,Geography,
24,s43246-020-00094-y,Characterization and analytical techniques,
25,s43246-020-00094-y,Metals and alloys,
26,s43246-020-00092-0,Energy storage,
27,s43246-020-00092-0,Materials for energy and catalysis,
28,s43247-020-00024-3,Carbon cycle,
29,s43247-020-00024-3,Palaeoceanography,
30,s43247-020-00024-3,Palaeoclimate,
31,s43018-020-00129-w,Genetic databases,
32,s43018-020-00129-w,SARS-CoV-2,
33,s43018-020-00129-w,Tumour virus infections,
34,s43018-020-00129-w,Viral infection,
35,s43018-020-00141-0,Biomarkers,
36,s43018-020-00141-0,Cancer,
37,s43018-020-00141-0,Cancer genomics,
38,s43018-020-00141-0,Prostate cancer,
39,s43247-020-00051-0,Economic geology,
40,s43247-020-00051-0,Geochemistry,
41,s43247-020-00051-0,Solid Earth sciences,
42,s43246-020-00088-w,Electronic properties and materials,
43,s43246-020-00088-w,Topological matter,
44,s43246-020-00093-z,Photocatalysis,
45,s43246-020-00091-1,Complex networks,
46,s43246-020-00091-1,Computational methods,
47,s43246-020-00091-1,Electronic properties and materials,
48,s43246-020-00091-1,Molecular electronics,
49,s43247-020-00016-3,Environmental impact,
50,s43247-020-00016-3,Palaeoclimate,
51,s43247-020-00017-2,Agriculture,
52,s43247-020-00017-2,Biogeochemistry,
53,s43247-020-00017-2,Climate sciences,
54,s43247-020-00017-2,Environmental sciences,
55,s43247-020-00017-2,Forestry,
56,s43247-020-00015-4,Atmospheric dynamics,
57,s43247-020-00015-4,Climate sciences,
58,s43247-020-00015-4,Hydrology,
59,s43016-020-00186-5,Agriculture,
60,s43016-020-00186-5,Environmental impact,
61,s43016-020-00186-5,Environmental sciences,
62,s43016-020-00186-5,Environmental social sciences,
63,s43016-020-00186-5,Social sciences,
64,s43016-020-00150-3,Agriculture,
65,s43016-020-00150-3,Environmental impact,
66,s43016-020-00146-z,Environmental impact,
67,s43246-020-00111-0,Implants,
68,s43246-020-00111-0,Maxillofacial surgery,
69,s43016-020-0114-x,Agriculture,
70,s43016-020-0114-x,Developing world,
71,s43017-020-0099-x,Environmental chemistry,
72,s43017-020-0099-x,Environmental impact,
73,s43017-020-0099-x,Geochemistry,
74,s43017-020-0099-x,Geomorphology,
75,s43017-020-0099-x,Hydrology,
76,s43246-020-00089-9,Implants,
77,s43246-020-00089-9,Maxillofacial surgery,
78,s43247-020-00052-z,Geodynamics,
79,s43247-020-00052-z,Tectonics,
80,s43247-020-00050-1,Climate-change ecology,
81,s43247-020-00050-1,Hydrology,
82,s43018-020-0036-4,Cytokines,
83,s43018-020-0036-4,Tumour immunology,
0,s43017-020-00105-z,Atmospheric chemistry,
1,s43017-020-00105-z,Environmental chemistry,
2,s43016-020-00153-0,,
3,s43016-020-0130-x,Biogeochemistry,
4,s43016-020-0130-x,Biotechnology,
5,s43016-020-0130-x,Environmental sciences,
6,s43016-020-0130-x,Molecular biology,
7,s43016-020-0130-x,Plant sciences,
8,s43247-020-00057-8,Exoplanets,
9,s43247-020-00057-8,Palaeoclimate,
10,s43017-020-00104-0,Atmospheric science,
11,s43017-020-00104-0,Climate change,
12,s43016-020-00154-z,,
13,s43247-020-00062-x,Atmospheric dynamics,
14,s43247-020-00062-x,Cryospheric science,
15,s43018-020-0104-9,Cancer,
16,s43018-020-0104-9,Cancer epidemiology,
17,s43018-020-0104-9,Health care,
18,s43018-020-0103-x,Cancer,
19,s43018-020-0103-x,Cancer therapeutic resistance,
20,s43018-020-0103-x,Leukaemia,
21,s43018-020-0103-x,Predictive markers,
22,s43016-020-00152-1,Disease prevention,
23,s43016-020-00152-1,Viral infection,
24,s43016-020-0113-y,Agriculture,
25,s43016-020-0113-y,Ecological modelling,
26,s43016-020-0113-y,Element cycles,
27,s43016-020-0113-y,Environmental chemistry,
28,s43016-020-0113-y,Environmental impact,
29,s43017-020-00103-1,Element cycles,
30,s43017-020-00103-1,Marine chemistry,
31,s43247-020-00059-6,Climate change,
32,s43247-020-00059-6,Palaeoclimate,
33,s43018-020-0095-6,Cancer immunotherapy,
34,s43018-020-0095-6,Preclinical research,
35,s43246-020-00095-x,Energy science and technology,
36,s43246-020-00095-x,Environmental sciences,
37,s43017-020-0102-6,Environmental health,
38,s43017-020-0102-6,Environmental impact,
39,s43017-020-0102-6,Marine biology,
40,s43016-020-0093-y,Biochemical networks,
41,s43016-020-0093-y,Biomarkers,
42,s43016-020-0093-y,Metabolomics,
43,s43016-020-0093-y,Nutrition,
44,s43016-020-0093-y,Obesity,
45,s43018-020-00132-1,DNA methylation,
46,s43018-020-00132-1,Haematological cancer,
47,s43018-020-00128-x,Biochemistry,
48,s43018-020-00128-x,Cancer,
49,s43016-020-00183-8,Agriculture,
50,s43016-020-00183-8,Economics,
51,s43016-020-00174-9,Environmental sciences,
52,s43016-020-00174-9,Materials science,
53,s43016-020-00174-9,Nutrition,
54,s43016-020-00174-9,Risk factors,
55,s43018-020-0087-6,Cancer,
56,s43018-020-0087-6,Cancer genomics,
57,s43018-020-0087-6,Computer science,
58,s43018-020-0087-6,Predictive markers,
59,s43018-020-0085-8,Cancer,
60,s43018-020-0085-8,Cancer genomics,
61,s43018-020-0085-8,Cancer imaging,
62,s43018-020-0085-8,Computational science,
63,s43247-020-00032-3,Cryospheric science,
64,s43247-020-00032-3,Physical oceanography,
65,s43247-020-00035-0,Climate and Earth system modelling,
66,s43247-020-00035-0,Projection and prediction,
67,s43247-020-00033-2,Atmospheric dynamics,
68,s43247-020-00033-2,Natural hazards,
69,s43247-020-00033-2,Physical oceanography,
70,s43018-020-00121-4,Cancer,
71,s43018-020-00121-4,Pancreatic cancer,
72,s43018-020-00121-4,Tumour immunology,
73,s43016-020-00167-8,Element cycles,
74,s43016-020-00167-8,Environmental impact,
75,s43016-020-00158-9,Environmental impact,
76,s43016-020-00158-9,Medical research,
77,s43016-020-00170-z,Agriculture,
78,s43016-020-00170-z,Water resources,
79,s43016-020-00178-5,,
80,s43018-020-0094-7,Cancer,
81,s43018-020-0094-7,Cancer models,
82,s43018-020-0094-7,CNS cancer,
83,s43018-020-0094-7,Homologous recombination,
84,s43018-020-0094-7,Origin firing,
0,s41477-020-0654-y,Biodiversity,
1,s41477-020-0654-y,Community ecology,
2,s41477-020-0654-y,Ecology,
3,s41477-020-0645-z,Plant development,
4,s41477-020-0645-z,Plant signalling,
5,s41477-020-0656-9,Agriculture,
6,s41477-020-0656-9,Biotic,
7,s41477-020-0656-9,Plant hormones,
8,s41540-020-00158-2,Computational biology and bioinformatics,
9,s41540-020-00158-2,Computer modelling,
10,s41524-020-00429-w,Computational methods,
11,s41524-020-00429-w,Theoretical chemistry,
12,s41524-020-00436-x,Ferroelectrics and multiferroics,
13,s41524-020-00436-x,Materials for devices,
14,s41524-020-00434-z,Electronic properties and materials,
15,s41524-020-00434-z,Electronic structure,
16,s41540-020-00157-3,Software,
17,s41524-020-00383-7,Computational methods,
18,s41524-020-00383-7,Electronic structure,
19,s41420-020-00304-z,Bladder cancer,
20,s41420-020-00304-z,Diagnostic markers,
21,s41405-020-0038-4,Dental public health,
22,s41405-020-0038-4,Special care dentistry,
23,s41394-020-0316-3,Rehabilitation,
24,s41394-020-0316-3,Risk factors,
25,s41560-020-0564-2,Design,
26,s41560-020-0564-2, synthesis and processing,
27,s41560-020-0564-2,Electronic properties and materials,
28,s41560-020-0564-2,Solar cells,
29,s41420-020-00293-z,Cellular neuroscience,
30,s41420-020-00293-z,Huntington's disease,
31,s41524-020-00378-4,Electrical and electronic engineering,
32,s41524-020-00378-4,Electronic structure,
33,s41524-020-00380-w,Computational methods,
34,s41524-020-00380-w,Electronic devices,
35,s41572-020-0154-4,Ebola virus,
36,s41572-020-0154-4,Immunization,
37,s41572-020-0154-4,Public health,
38,s41572-020-0154-4,Viral epidemiology,
39,s41572-020-0154-4,Viral pathogenesis,
40,s41578-020-00249-w,Materials chemistry,
41,s41578-020-00249-w,Materials science,
42,s41572-020-0214-9,Demyelinating diseases,
43,s41572-020-0214-9,Multiple sclerosis,
44,s41572-020-0214-9,Spinal cord diseases,
45,s41421-020-00234-1,Biological techniques,
46,s41421-020-00234-1,Molecular biology,
47,s41578-020-00250-3,Chemistry,
48,s41578-020-00250-3,Materials science,
49,s41477-020-0697-0,Cell biology,
50,s41477-020-0697-0,Genetics,
51,s41477-020-0697-0,Plant sciences,
52,s41477-020-0646-y,Plant development,
53,s41477-020-0646-y,Plant evolution,
54,s41477-020-0632-4,Agriculture,
55,s41477-020-0632-4,Biosensors,
56,s41477-020-0632-4,Plant biotechnology,
57,s41477-020-0632-4,Plant signalling,
58,s41572-020-0199-4,,
59,s41572-020-0197-6,,
60,s41477-020-0629-z,Heat,
61,s41477-020-0629-z,Molecular engineering in plants,
62,s41523-020-00202-8,Breast cancer,
63,s41523-020-00202-8,Cancer epidemiology,
64,s41523-020-00202-8,Risk factors,
65,s41531-020-00132-z,Parkinson's disease,
66,s41531-020-00132-z,Rehabilitation,
67,s41378-020-00200-7,Chemistry,
68,s41378-020-00200-7,Engineering,
69,s41526-020-00121-9,Molecular medicine,
70,s41526-020-00121-9,Translational research,
71,s41378-020-00203-4,Electrical and electronic engineering,
72,s41378-020-00203-4,Micro-optics,
0,s41562-020-0891-0,Psychology,
1,s41562-020-0891-0,Science,
2,s41562-020-0891-0, technology and society,
3,s41559-020-1104-y,Community ecology,
4,s41559-020-1104-y,Phenology,
5,s41698-020-00138-z,Cancer microenvironment,
6,s41698-020-00138-z,Infection,
7,s41698-020-00138-z,Lung cancer,
8,s41698-020-00138-z,Outcomes research,
9,s41559-020-1098-5,Community ecology,
10,s41559-020-1098-5,Theoretical ecology,
11,s41529-020-00133-6,Characterization and analytical techniques,
12,s41529-020-00133-6,Metals and alloys,
13,s41699-020-0136-0,Magnetic properties and materials,
14,s41699-020-0136-0,Two-dimensional materials,
15,s41559-020-1252-0,Careers,
16,s41559-020-1252-0,Ecology,
17,s41559-020-1252-0,Evolution,
18,s41559-020-1252-0,Scientific community,
19,s41550-020-1095-2,Asteroids,
20,s41550-020-1095-2, comets and Kuiper belt,
21,s41550-020-1095-2,Exoplanets,
22,s41550-020-1083-6,Early solar system,
23,s41550-020-1083-6,Solar physics,
24,s41550-020-1083-6,Stars,
25,s41550-020-1077-4,Astrophysical disks,
26,s41550-020-1084-5,Astronomical instrumentation,
27,s41550-020-1084-5,Communication,
28,s41550-020-1087-2,Asteroids,
29,s41550-020-1087-2, comets and Kuiper belt,
30,s41550-020-1087-2,Atmospheric chemistry,
31,s41550-020-1082-7,Astronomical instrumentation,
32,s41550-020-1082-7,Astrophysical dust,
33,s41550-020-1082-7,Interstellar medium,
34,s41550-020-1085-4,High-energy astrophysics,
35,s41550-020-1085-4,Stars,
36,s41550-020-1085-4,Transient astrophysical phenomena,
37,s41550-020-1081-8,Ecophysiology,
38,s41550-020-1081-8,Soil microbiology,
39,s41562-020-0921-y,Careers,
40,s41562-020-0921-y,Scientific community,
41,s41550-020-1030-6,Astrophysical magnetic fields,
42,s41550-020-1030-6,Compact astrophysical objects,
43,s41559-020-1254-y,Ecological modelling,
44,s41559-020-1254-y,Epidemiology,
45,s41528-020-00087-4,Electrical and electronic engineering,
46,s41528-020-00087-4,Energy science and technology,
47,s41528-020-00087-4,Materials for devices,
48,s41559-020-1231-5,Ecology,
49,s41559-020-1231-5,Evolution,
50,s41559-020-1231-5,Science,
51,s41559-020-1231-5, technology and society,
52,s41559-020-1231-5,Scientific community,
53,s41550-020-1141-0,Aerospace engineering,
54,s41550-020-1141-0,Astronomical instrumentation,
55,s41559-020-01285-z,Biodiversity,
56,s41559-020-01285-z,Conservation biology,
57,s41559-020-01285-z,Environmental studies,
58,s41550-020-1057-8,Early solar system,
59,s41550-020-1057-8,Giant planets,
60,s41550-020-1042-2,Astrophysical disks,
61,s41550-020-1042-2,Early solar system,
62,s41550-020-1042-2,Exoplanets,
63,s41550-020-1042-2,Galaxies and clusters,
64,s41550-020-1042-2,General relativity and gravity,
65,s41559-020-1174-x,Biodiversity,
66,s41559-020-1174-x,Community ecology,
67,s41559-020-1174-x,Ecological networks,
68,s41559-020-1174-x,Ecosystem services,
69,s41559-020-1174-x,Forest ecology,
70,s41562-020-0842-9,,
71,s41550-020-1045-z,Stars,
72,s41550-020-1045-z,Stellar evolution,
73,s41550-020-1065-8,Astronomy and astrophysics,
74,s41550-020-1065-8,Astronomy and planetary science,
75,s41550-020-1065-8,Planetary science,
76,s41550-020-1065-8,Solar physics,
77,s41559-020-1169-7,Evolutionary developmental biology,
78,s41559-020-1169-7,Evolutionary genetics,
79,s41559-020-1169-7,Ichthyology,
80,s41559-020-1169-7,Phylogenetics,
81,s41562-020-0845-6,Psychosis,
82,s41562-020-0845-6,Rare variants,
83,s41562-020-0845-6,Schizophrenia,
84,s41550-020-1049-8,Rings and moons,
85,s41550-020-1056-9,Exoplanets,
86,s41550-020-1056-9,Stars,
87,s41550-020-1056-9,Stellar evolution,
0,s41394-020-00354-6,Spinal cord diseases,
1,s41394-020-00354-6,Translational research,
2,s41537-020-00123-2,Psychiatric disorders,
3,s41537-020-00123-2,Psychosis,
4,s41537-020-00123-2,Schizophrenia,
5,s41537-020-00126-z,Biomarkers,
6,s41537-020-00126-z,Genetics of the nervous system,
7,s41537-020-00126-z,Schizophrenia,
8,s41405-020-00045-2,Dental education,
9,s41405-020-00045-2,Orthodontics,
10,s41394-020-00336-8,Spinal cord diseases,
11,s41394-020-00336-8,Translational research,
12,s41572-020-0186-9,Corneal diseases,
13,s41572-020-0186-9,Organ transplantation,
14,s41572-020-00223-4,Dementia,
15,s41572-020-00223-4,Encephalopathy,
16,s41572-020-0190-0,Infection,
17,s41572-020-0190-0,Obesity,
18,s41477-020-00791-z,Cell polarity,
19,s41477-020-00791-z,Plant signalling,
20,s41477-020-00771-3,Photosynthesis,
21,s41477-020-00771-3,Plant biotechnology,
22,s41477-020-00765-1,Auxin,
23,s41477-020-00765-1,Plant development,
24,s41477-020-00777-x,Evolution,
25,s41477-020-00777-x,Fungi,
26,s41477-020-00777-x,Plant sciences,
27,s41526-020-00113-9,Aerospace engineering,
28,s41526-020-00113-9,Biological physics,
29,s41526-020-00113-9,Nanopores,
30,s41394-020-00333-x,Diagnosis,
31,s41394-020-00333-x,Health policy,
32,s41394-020-00333-x,Rehabilitation,
33,s41394-020-00334-w,Prognosis,
34,s41394-020-00334-w,Risk factors,
35,s41394-020-00369-z,Prognosis,
36,s41394-020-00369-z,Risk factors,
37,s41578-020-00255-y,Techniques and instrumentation,
38,s41578-020-00255-y,Theory and computation,
39,s41531-020-00140-z,Diagnostic markers,
40,s41531-020-00140-z,Neurodegeneration,
41,s41477-020-00757-1,Epigenomics,
42,s41477-020-00757-1,Plant ecology,
43,s41477-020-00792-y,Agriculture,
44,s41477-020-00792-y,Interdisciplinary studies,
45,s41531-020-00136-9,Outcomes research,
46,s41531-020-00136-9,Parkinson's disease,
47,s41514-020-00051-6,Diabetes,
48,s41514-020-00051-6,Obesity,
49,s41537-020-00122-3,Pharmacology,
50,s41537-020-00122-3,Schizophrenia,
51,s41537-020-00120-5,Psychosis,
52,s41420-020-00361-4,Glomerular diseases,
53,s41420-020-00361-4,Kidney,
54,s41420-020-00364-1,Mesothelioma,
55,s41420-020-00364-1,Targeted therapies,
56,s41537-020-00121-4,Biomarkers,
57,s41537-020-00121-4,Schizophrenia,
58,s41531-020-00124-z,Parkinson's disease,
59,s41531-020-00124-z,Prognostic markers,
60,s41534-020-00306-w,Atom optics,
61,s41534-020-00306-w,Quantum simulation,
62,s41534-020-00306-w,Single photons and quantum effects,
63,s41572-020-0179-8,Autoimmune diseases,
64,s41572-020-0179-8,Cancer,
65,s41394-020-00365-3,Spinal cord diseases,
66,s41394-020-00365-3,Spine structure,
67,s41477-020-0700-9,Plant cell biology,
68,s41477-020-0700-9,Plant molecular biology,
0,s41598-020-78650-2,Regenerative medicine,
1,s41598-020-78650-2,Tissue engineering,
2,s41598-020-76439-x,Imaging,
3,s41598-020-76439-x,Oligonucleotide probes,
4,s41598-020-76439-x,Software,
5,s41598-020-79167-4,Design,
6,s41598-020-79167-4, synthesis and processing,
7,s41598-020-79167-4,Mechanical properties,
8,s41598-020-79202-4,Diseases,
9,s41598-020-79202-4,Epilepsy,
10,s41598-020-79202-4,Neurological disorders,
11,s41598-020-79155-8,Medical research,
12,s41598-020-79155-8,Neuroscience,
13,s41598-020-79207-z,Gastroenterology,
14,s41598-020-79207-z,Gastrointestinal diseases,
15,s41598-020-79207-z,Inflammatory bowel disease,
16,s41598-020-78679-3,Genetics,
17,s41598-020-78679-3,Plant sciences,
18,s41598-020-79440-6,Kidney,
19,s41598-020-79440-6,Renal replacement therapy,
20,s41598-020-79440-6,Translational research,
21,s41598-020-79377-w,Bacterial infection,
22,s41598-020-79377-w,Retinal diseases,
23,s41598-020-78785-2,Cancer,
24,s41598-020-78785-2,Chemical biology,
25,s41598-020-78785-2,Medical research,
26,s41598-020-78785-2,Oncology,
27,s41598-020-78785-2,Plant sciences,
28,s41598-020-79285-z,Biomarkers,
29,s41598-020-79285-z,Breast cancer,
30,s41598-020-79285-z,Cancer,
31,s41598-020-79285-z,Medical research,
32,s41598-020-79285-z,Oncology,
33,s41598-020-79285-z,Risk factors,
34,s41598-020-78832-y,Alzheimer's disease,
35,s41598-020-78832-y,Chromosome abnormality,
36,s41598-020-78832-y,Genetic markers,
37,s41598-020-79297-9,Clinical microbiology,
38,s41598-020-79297-9,Diagnosis,
39,s41598-020-79332-9,Molecular medicine,
40,s41598-020-79332-9,Nephrology,
41,s41598-020-79455-z,Nanoscale materials,
42,s41598-020-79455-z,Structural materials,
43,s41598-020-77939-6,Cancer,
44,s41598-020-77939-6,Cancer genomics,
45,s41598-020-77939-6,Genetics,
46,s41598-020-77939-6,Oncology,
47,s41598-020-79064-w,Environmental sciences,
48,s41598-020-79064-w,Scientific data,
49,s41598-020-79302-1,Immunology,
50,s41598-020-79302-1,Psychology,
51,s41598-020-78708-1,Cancer prevention,
52,s41598-020-78708-1,Colon cancer,
53,s41598-020-79203-3,Element cycles,
54,s41598-020-79203-3,Environmental sciences,
55,s41598-020-79187-0,Experimental models of disease,
56,s41598-020-79187-0,Paediatric research,
57,s41598-020-79399-4,Metamaterials,
58,s41598-020-79399-4,Nanowires,
59,s41598-020-79399-4,Structural properties,
